Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
Over 51,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,1
31-50,Employee,5-10yr,No junction,Other,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
18-30,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Unknown,Collision with pedestrians,Other,Driving carelessly,1
31-50,Employee,Above 10yr,No junction,Other,Daylight,Normal,Collision with roadside objects,Other,Changing lane to the right,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Going straight,Driving carelessly,2
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,2
31-50,Employee,1-2yr,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Entering a junction,No priority to vehicle,1
18-30,Owner,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Other,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Entering a junction,Moving Backward,1
Under 18,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,1
Under 18,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Other,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,1
31-50,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,1
Over 51,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,1
18-30,Employee,Above 10yr,Other,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Driving to the left,1
18-30,Other,No Licence,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Driving to the left,1
Unknown,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Moving Backward,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Going straight,Driving carelessly,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Overtaking,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
31-50,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Other,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,Other,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Over 51,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Under 18,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Changing lane to the right,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,No Licence,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Driving to the left,1
31-50,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Unknown,Employee,1-2yr,Y Shape,Other,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Moving Backward,1
Under 18,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Turnover,No priority to vehicle,2
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Owner,Above 10yr,Y Shape,Earth roads,Daylight,Normal,Collision with pedestrians,Going straight,Other,1
Over 51,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,Getting off,Changing lane to the left,1
18-30,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Rollover,Waiting to go,Moving Backward,2
18-30,Owner,Below 1yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Owner,5-10yr,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,1
31-50,Owner,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Owner,5-10yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No distancing,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the right,1
Unknown,Employee,No Licence,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,1
31-50,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,No priority to vehicle,1
Over 51,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,1
Over 51,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,1
Over 51,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,No distancing,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No distancing,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,1
Unknown,Employee,1-2yr,Crossing,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driving at high speed,1
18-30,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Overtaking,1
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Other,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Other,Collision with pedestrians,Stopping,Changing lane to the left,2
Under 18,Employee,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,2
Unknown,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Unknown,Employee,Above 10yr,Y Shape,Earth roads,Daylight,Raining,Vehicle with vehicle collision,Turnover,No distancing,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Moving Backward,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,2
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
Over 51,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,1
Over 51,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Overturning,1
18-30,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Driving carelessly,Fatal injury
Unknown,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Changing lane to the left,1
Unknown,Owner,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Rollover,Getting off,Other,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Changing lane to the right,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No priority to pedestrian,1
Unknown,Employee,Below 1yr,Crossing,Asphalt roads,Daylight,Other,Collision with pedestrians,Going straight,Changing lane to the right,1
Over 51,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Other,Collision with pedestrians,Going straight,Changing lane to the left,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No priority to vehicle,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
Unknown,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Owner,Above 10yr,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Unknown,No distancing,1
31-50,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,No Licence,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,2
Over 51,Owner,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Owner,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Employee,2-5yr,No junction,Gravel roads,Darkness - lights lit,Other,Collision with roadside objects,Reversing,Driving carelessly,2
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,1
Under 18,Employee,2-5yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,1
18-30,Employee,1-2yr,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving under the influence of drugs,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Changing lane to the right,2
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Turnover,Moving Backward,1
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
18-30,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,1
18-30,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,2
18-30,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Reversing,Driving carelessly,1
31-50,Employee,1-2yr,Crossing,Asphalt roads,Daylight,Raining,Rollover,Other,No distancing,1
Unknown,Employee,Above 10yr,T Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Unknown,Employee,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving under the influence of drugs,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,Above 10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Driving to the left,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,1
Under 18,Owner,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
Unknown,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Getting off the vehicle improperly,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
Unknown,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
31-50,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Owner,1-2yr,No junction,Asphalt roads,Daylight,Normal,Rollover,Moving Backward,Overtaking,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driving carelessly,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Under 18,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
Under 18,Owner,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Other,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Owner,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Turnover,1
18-30,Owner,Above 10yr,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Unknown,Employee,2-5yr,Other,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Getting off,No priority to pedestrian,1
18-30,Employee,Above 10yr,Other,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Unknown,Employee,Above 10yr,Unknown,Asphalt roads,Daylight,Other,Fall from vehicles,Going straight,No priority to vehicle,1
Under 18,Employee,5-10yr,Unknown,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,1
18-30,Owner,1-2yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
31-50,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,1
18-30,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Moving Backward,1
18-30,Owner,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Over 51,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,1
Over 51,Employee,1-2yr,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,No distancing,2
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driving carelessly,1
Unknown,Owner,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,1
18-30,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Employee,Below 1yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Moving Backward,1
Unknown,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,5-10yr,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
18-30,Owner,Below 1yr,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Overtaking,1
Under 18,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,No priority to pedestrian,1
31-50,Owner,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,1
31-50,Employee,2-5yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,No distancing,1
Unknown,Employee,1-2yr,Other,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Improper parking,1
31-50,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
Unknown,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,1
Unknown,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,1
Over 51,Other,Below 1yr,No junction,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Unknown,Owner,1-2yr,No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Driving carelessly,2
18-30,Employee,1-2yr,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Stopping,No priority to vehicle,1
Over 51,Employee,Above 10yr,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,1
Under 18,Employee,2-5yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,No priority to vehicle,1
Under 18,Employee,5-10yr,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Other,1
18-30,Employee,5-10yr,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
Over 51,Employee,5-10yr,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Changing lane to the right,1
18-30,Employee,Below 1yr,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Moving Backward,1
18-30,Employee,2-5yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,1
Unknown,Owner,Above 10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Owner,5-10yr,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No priority to pedestrian,1
18-30,Employee,2-5yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Employee,5-10yr,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Turnover,1
18-30,Employee,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,1
31-50,Employee,Above 10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
Unknown,Employee,5-10yr,No junction,Asphalt roads with some distress,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Under 18,Employee,5-10yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No priority to vehicle,1
Unknown,Employee,1-2yr,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,1
Under 18,Employee,Above 10yr,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,No priority to vehicle,1
Unknown,Employee,Below 1yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Driving carelessly,1
18-30,Owner,1-2yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,1
18-30,Owner,5-10yr,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Entering a junction,Moving Backward,1
